area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.003921568859369,320423945,320424004,59,138,115,0,0.003921568859369,201,320424205,320424281,76,111,118,0,0.003921568859369,401,320424682,320424749,67,153,115,0,0.003921568859369,242,320424991,320425058,67,107,98,0,0.003921568859369,343,320425401,320425468,67,124,112,0,0.003921568859369,251,320425719,320425787,68,102,79,20,pin-length-6
0,0.003921568859369,320433546,320433605,59,148,69,0,0.003921568859369,243,320433848,320433924,76,109,100,0,0.003921568859369,717,320434641,320434716,75,180,120,0,0.003921568859369,218,320434934,320434993,59,84,93,0,0.003921568859369,309,320435302,320435361,59,155,109,0,0.003921568859369,259,320435620,320435670,50,73,106,20,pin-length-6
0,0.003921568859369,320444166,320444250,84,127,79,0,0.003921568859369,193,320444443,320444503,60,118,85,0,0.003921568859369,374,320444877,320444953,76,163,144,0,0.003921568859369,201,320445154,320445222,68,83,87,0,0.003921568859369,259,320445481,320445548,67,128,133,0,0.003921568859369,251,320445799,320445858,59,106,83,20,pin-length-6
0,0.003921568859369,320452563,320452639,76,151,79,0,0.003921568859369,175,320452814,320452882,68,107,95,0,0.003921568859369,359,320453241,320453308,67,174,129,0,0.003921568859369,201,320453509,320453560,51,86,84,0,0.003921568859369,267,320453827,320453886,59,164,120,0,0.003921568859369,209,320454095,320454163,68,110,92,20,pin-length-6
0,1,142537557,142537611,54,59,103,0,1,119,142537730,142537795,65,100,99,0,1,285,142538080,142538127,47,54,109,0,1,143,142538270,142538337,67,68,101,0,1,176,142538513,142538546,33,124,88,0,1,193,142538739,142538777,38,45,85,22,pin-length-6
0,1,142539772,142539836,64,55,113,0,1,77,142539913,142539970,57,61,107,0,1,211,142540181,142540261,80,87,68,0,1,118,142540379,142540437,58,71,127,0,1,142,142540579,142540621,42,123,73,0,1,167,142540788,142540845,57,38,78,22,pin-length-6
0,1,142542029,142542103,74,70,116,0,1,112,142542215,142542238,23,102,118,0,1,234,142542472,142542514,42,101,84,0,1,152,142542666,142542714,48,95,124,0,1,159,142542873,142542913,40,107,90,0,1,153,142543066,142543120,54,43,92,22,pin-length-6
0,1,142543840,142543921,81,31,100,0,1,93,142544014,142544064,50,69,141,0,1,200,142544264,142544313,49,97,86,0,1,135,142544448,142544480,32,95,158,0,1,167,142544647,142544664,17,101,128,0,1,159,142544823,142544871,48,44,115,22,pin-length-6
0,1,142545558,142545613,55,67,133,0,1,94,142545707,142545755,48,87,96,0,1,202,142545957,142546005,48,80,45,0,1,145,142546150,142546180,30,112,115,0,1,170,142546350,142546363,13,120,92,0,1,160,142546523,142546580,57,27,85,22,pin-length-6
0,0.003921568859369,72776595,72776670,75,129,96,0,0.003921568859369,177,72776847,72776928,81,155,79,0,0.003921568859369,209,72777137,72777221,84,91,80,0,0.003921568859369,201,72777422,72777473,51,127,110,0,0.003921568859369,928,72778401,72778477,76,95,101,0,0.003921568859369,118,72778595,72778671,76,78,91,24,pin-length-6
0,0.003921568859369,72779605,72779681,76,124,99,0,0.003921568859369,301,72779982,72780049,67,168,78,0,0.003921568859369,1141,72781190,72781285,95,77,97,0,0.003921568859369,83,72781368,72781436,68,134,88,0,0.003921568859369,517,72781953,72782029,76,124,98,0,0.003921568859369,102,72782131,72782208,77,66,101,24,pin-length-6
0,0.003921568859369,72783898,72783974,76,105,89,0,0.003921568859369,293,72784267,72784321,54,150,82,0,0.003921568859369,1526,72785847,72785941,94,114,154,0,0.003921568859369,67,72786008,72786084,76,121,95,0,0.003921568859369,517,72786601,72786669,68,106,90,0,0.003921568859369,117,72786786,72786863,77,65,106,24,pin-length-6
0,0.003921568859369,72789361,72789464,103,119,87,0,0.003921568859369,192,72789656,72789746,90,174,75,0,0.003921568859369,450,72790196,72790299,103,87,115,0,0.003921568859369,92,72790391,72790467,76,115,127,0,0.003921568859369,1661,72792128,72792204,76,156,84,0,0.003921568859369,135,72792339,72792424,85,67,140,24,pin-length-6
0,0.003921568859369,72795176,72795287,111,117,80,0,0.003921568859369,266,72795553,72795638,85,166,102,0,0.003921568859369,617,72796255,72796348,93,101,79,0,0.003921568859369,126,72796474,72796543,69,122,101,0,0.003921568859369,857,72797400,72797467,67,117,101,0,0.003921568859369,135,72797602,72797661,59,80,114,24,pin-length-6
